planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,classical,classical-domains,agricola-opt18,20,0,0.0,0,7,0,13,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,agricola-sat18,20,0,0.0,0,11,0,9,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,airport,50,11,22.0,11,39,0,0,0,0,0,0,4.6,156.0,21
PLASPPlanner-seq,classical,classical-domains,airport-adl,50,11,22.0,11,9,24,6,0,0,0,0,13.6,287.0,21
PLASPPlanner-seq,classical,classical-domains,assembly,30,0,0.0,0,8,19,3,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-opt14-strips,14,0,0.0,0,14,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,barman-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,blocks,136,20,14.7,20,53,2,5,56,0,0,0,2.9,132.0,19.0
PLASPPlanner-seq,classical,classical-domains,blocks-3op,30,14,46.7,14,16,0,0,0,0,0,0,2.2,134.0,10.0
PLASPPlanner-seq,classical,classical-domains,briefcaseworld,30,7,23.3,7,23,0,0,0,0,0,0,3.3,128.0,12
PLASPPlanner-seq,classical,classical-domains,caldera-opt18,20,4,20.0,4,0,13,3,0,0,0,0,13.7,648.8,7.0
PLASPPlanner-seq,classical,classical-domains,caldera-sat18,20,0,0.0,0,0,18,2,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,caldera-split-opt18,20,8,40.0,8,12,0,0,0,0,0,0,51.2,396.4,28.5
PLASPPlanner-seq,classical,classical-domains,caldera-split-sat18,20,2,10.0,2,9,9,0,0,0,0,0,107.6,621.0,37.0
PLASPPlanner-seq,classical,classical-domains,cavediving,20,7,35.0,7,13,0,0,0,0,0,0,256.6,178.9,23
PLASPPlanner-seq,classical,classical-domains,childsnack-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,childsnack-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,citycar-opt14-adl,20,7,35.0,7,13,0,0,0,0,0,0,21.2,146.5,14
PLASPPlanner-seq,classical,classical-domains,citycar-sat14-adl,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,cybersec,30,8,26.7,8,21,0,1,0,0,0,0,134.8,416.1,31.5
PLASPPlanner-seq,classical,classical-domains,data-network-opt18,20,15,75.0,15,5,0,0,0,0,0,0,3.3,162.2,10
PLASPPlanner-seq,classical,classical-domains,data-network-sat18,20,0,0.0,0,16,2,2,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,depot,22,2,9.1,2,20,0,0,0,0,0,0,5.9,134.0,12.5
PLASPPlanner-seq,classical,classical-domains,driverlog,20,6,30.0,6,14,0,0,0,0,0,0,13.2,137.0,12.5
PLASPPlanner-seq,classical,classical-domains,elevators-00-adl,151,34,22.5,34,116,0,0,1,0,0,0,1.9,127.0,11.5
PLASPPlanner-seq,classical,classical-domains,elevators-00-full,150,0,0.0,0,0,0,0,129,0,21,0,,,
PLASPPlanner-seq,classical,classical-domains,elevators-00-strips,150,30,20.0,30,120,0,0,0,0,0,0,2.2,126.0,12.0
PLASPPlanner-seq,classical,classical-domains,elevators-opt08-strips,30,7,23.3,7,23,0,0,0,0,0,0,172.0,175.3,15
PLASPPlanner-seq,classical,classical-domains,elevators-opt11-strips,20,5,25.0,5,15,0,0,0,0,0,0,332.6,176.0,16
PLASPPlanner-seq,classical,classical-domains,elevators-sat08-strips,30,1,3.3,1,29,0,0,0,0,0,0,1374.1,192.7,18
PLASPPlanner-seq,classical,classical-domains,elevators-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,ferry,30,12,40.0,12,18,0,0,0,0,0,0,131.6,152.3,18.0
PLASPPlanner-seq,classical,classical-domains,flashfill-sat18,20,5,25.0,5,1,14,0,0,0,0,0,321.2,4098.2,15
PLASPPlanner-seq,classical,classical-domains,floortile-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,floortile-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,floortile-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,floortile-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,freecell,80,8,10.0,8,72,0,0,0,0,0,0,38.6,307.5,8.5
PLASPPlanner-seq,classical,classical-domains,fridge,30,0,0.0,0,30,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,ged-opt14-strips,20,20,100.0,20,0,0,0,0,0,0,0,5.6,154.4,13.0
PLASPPlanner-seq,classical,classical-domains,ged-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,grid,5,1,20.0,1,4,0,0,0,0,0,0,5.3,175.7,14
PLASPPlanner-seq,classical,classical-domains,gripper,20,2,10.0,2,18,0,0,0,0,0,0,15.3,129.0,14.0
PLASPPlanner-seq,classical,classical-domains,hanoi,30,4,13.3,4,26,0,0,0,0,0,0,1.3,123.0,5.0
PLASPPlanner-seq,classical,classical-domains,hiking-opt14-strips,20,6,30.0,6,14,0,0,0,0,0,0,28.3,177.3,13.5
PLASPPlanner-seq,classical,classical-domains,hiking-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,logistics00,174,0,0.0,0,0,0,0,174,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,logistics98,35,2,5.7,2,30,1,2,0,0,0,0,14.0,139.0,16.5
PLASPPlanner-seq,classical,classical-domains,maintenance-opt14-adl,5,5,100.0,5,0,0,0,0,0,0,0,1.5,124.0,7
PLASPPlanner-seq,classical,classical-domains,maintenance-sat14-adl,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,miconic,150,30,20.0,30,120,0,0,0,0,0,0,2.3,128.0,12.0
PLASPPlanner-seq,classical,classical-domains,miconic-fulladl,150,35,23.3,35,111,4,0,0,0,0,0,2.4,142.0,12
PLASPPlanner-seq,classical,classical-domains,miconic-simpleadl,150,34,22.7,34,116,0,0,0,0,0,0,2.0,128.0,11.5
PLASPPlanner-seq,classical,classical-domains,movie,30,30,100.0,30,0,0,0,0,0,0,0,1.4,125.0,7.0
PLASPPlanner-seq,classical,classical-domains,mprime,35,32,91.4,32,2,0,1,0,0,0,0,11.3,186.5,6.0
PLASPPlanner-seq,classical,classical-domains,mystery,30,18,60.0,18,11,0,0,0,0,1,0,6.6,172.3,6.5
PLASPPlanner-seq,classical,classical-domains,no-mprime,35,31,88.6,31,3,0,1,0,0,0,0,10.0,186.2,6
PLASPPlanner-seq,classical,classical-domains,no-mystery,30,18,60.0,18,11,0,0,0,0,1,0,6.5,172.7,6.5
PLASPPlanner-seq,classical,classical-domains,nomystery-opt11-strips,20,7,35.0,7,10,3,0,0,0,0,0,43.8,345.2,14
PLASPPlanner-seq,classical,classical-domains,nomystery-sat11-strips,20,1,5.0,1,12,7,0,0,0,0,0,364.8,429.4,18
PLASPPlanner-seq,classical,classical-domains,nurikabe-opt18,20,7,35.0,7,1,11,1,0,0,0,0,7.2,344.2,15
PLASPPlanner-seq,classical,classical-domains,nurikabe-sat18,20,0,0.0,0,2,14,4,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks,30,5,16.7,5,21,4,0,0,0,0,0,180.1,156.0,23
PLASPPlanner-seq,classical,classical-domains,openstacks-opt08-adl,30,2,6.7,2,28,0,0,0,0,0,0,160.7,143.0,18.5
PLASPPlanner-seq,classical,classical-domains,openstacks-opt08-strips,30,2,6.7,2,28,0,0,0,0,0,0,88.9,137.0,18.5
PLASPPlanner-seq,classical,classical-domains,openstacks-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks-sat08-adl,30,3,10.0,3,21,3,3,0,0,0,0,20.5,134.0,17
PLASPPlanner-seq,classical,classical-domains,openstacks-sat08-strips,30,3,10.0,3,27,0,0,0,0,0,0,11.3,130.0,17
PLASPPlanner-seq,classical,classical-domains,openstacks-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,openstacks-strips,30,5,16.7,5,24,0,1,0,0,0,0,44.3,148.0,23
PLASPPlanner-seq,classical,classical-domains,optical-telegraphs,48,0,0.0,0,0,0,0,48,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,organic-synthesis-opt18,20,0,0.0,0,0,20,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,organic-synthesis-sat18,20,0,0.0,0,0,20,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,organic-synthesis-split-opt18,20,12,60.0,12,3,5,0,0,0,0,0,63.4,869.4,27.0
PLASPPlanner-seq,classical,classical-domains,organic-synthesis-split-sat18,20,9,45.0,9,3,8,0,0,0,0,0,261.7,1994.0,37
PLASPPlanner-seq,classical,classical-domains,parcprinter-08-strips,30,8,26.7,8,22,0,0,0,0,0,0,2.0,132.0,15.0
PLASPPlanner-seq,classical,classical-domains,parcprinter-opt11-strips,20,4,20.0,4,16,0,0,0,0,0,0,3.3,135.0,16.0
PLASPPlanner-seq,classical,classical-domains,parcprinter-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,parking-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,parking-opt14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,parking-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,parking-sat14-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,classical,classical-domains,pathways,30,4,13.3,4,7,18,1,0,0,0,0,8.5,223.1,14.5
PLASPPlanner-seq,classical,classical-domains,pathways-noneg,30,4,13.3,4,6,18,2,0,0,0,0,9.0,223.8,14.5
