planner,suite,domain,instance,ipc,status,validated,plan_length,makespan,parse_seconds,solve_seconds,total_seconds,peak_memory_mb,reason
ABAPlanner-ST,classical-domains,agricola-opt18,p01,2018,UNSUPPORTED,,,,0.781,,1.882,123.4,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p02,2018,UNSUPPORTED,,,,0.748,,1.806,124.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p03,2018,UNSUPPORTED,,,,0.723,,1.765,124.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p04,2018,UNSUPPORTED,,,,0.727,,1.765,124.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p05,2018,UNSUPPORTED,,,,0.752,,1.806,124.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p06,2018,UNSUPPORTED,,,,0.757,,1.798,124.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p07,2018,UNSUPPORTED,,,,0.728,,1.768,123.51,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p08,2018,UNSUPPORTED,,,,0.735,,1.755,124.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p09,2018,UNSUPPORTED,,,,0.723,,1.719,122.0,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
ABAPlanner-ST,classical-domains,agricola-opt18,p10,2018,UNSUPPORTED,,,,0.731,,1.773,123.4,"ABAPlanner does not support this ProblemKind: ['ACTION_BASED', 'FINAL_VALUE', 'FLAT_TYPING', 'FLUENTS_IN_NUMERIC_ASSIGNMENTS', 'GENERAL_NUMERIC_PLANNING', 'HIERARCHICAL_TYPING', 'INCREASE_EFFECTS', 'NEGATIVE_CONDITION..."
