planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
ABAPlanner-ST,classical,classical-domains,agricola-opt18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,agricola-sat18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,airport,50,11,22.0,11,2,29,8,0,0,0,0,56.1,536.1,21
ABAPlanner-ST,classical,classical-domains,airport-adl,50,0,0.0,0,0,0,0,0,50,0,0,,,
ABAPlanner-ST,classical,classical-domains,assembly,30,0,0.0,0,0,0,0,0,30,0,0,,,
ABAPlanner-ST,classical,classical-domains,barman-opt11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,barman-opt14-strips,14,0,0.0,0,6,5,3,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,barman-sat11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,barman-sat14-strips,20,0,0.0,0,0,12,8,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,blocks,136,20,14.7,20,16,32,12,56,0,0,0,37.6,419.3,19.0
ABAPlanner-ST,classical,classical-domains,blocks-3op,30,9,30.0,9,0,20,1,0,0,0,0,7.9,247.3,6
ABAPlanner-ST,classical,classical-domains,briefcaseworld,30,0,0.0,0,0,0,0,0,30,0,0,,,
ABAPlanner-ST,classical,classical-domains,caldera-opt18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,caldera-sat18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,caldera-split-opt18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,caldera-split-sat18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,cavediving,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,childsnack-opt14-strips,20,0,0.0,0,0,14,6,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,childsnack-sat14-strips,20,0,0.0,0,0,20,0,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,citycar-opt14-adl,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,citycar-sat14-adl,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,cybersec,30,0,0.0,0,21,0,0,9,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,data-network-opt18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,data-network-sat18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,depot,22,2,9.1,2,1,14,5,0,0,0,0,48.3,478.2,12.5
ABAPlanner-ST,classical,classical-domains,driverlog,20,7,35.0,7,1,8,4,0,0,0,0,93.2,475.2,13
ABAPlanner-ST,classical,classical-domains,elevators-00-adl,151,0,0.0,0,0,0,0,1,150,0,0,,,
ABAPlanner-ST,classical,classical-domains,elevators-00-full,150,0,0.0,0,0,0,0,129,21,0,0,,,
ABAPlanner-ST,classical,classical-domains,elevators-00-strips,150,26,17.3,26,3,49,72,0,0,0,0,2.1,144.0,10.0
ABAPlanner-ST,classical,classical-domains,elevators-opt08-strips,30,0,0.0,0,0,0,0,0,30,0,0,,,
ABAPlanner-ST,classical,classical-domains,elevators-opt11-strips,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,elevators-sat08-strips,30,0,0.0,0,0,0,0,0,30,0,0,,,
ABAPlanner-ST,classical,classical-domains,elevators-sat11-strips,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,ferry,30,9,30.0,9,0,0,21,0,0,0,0,377.2,666.3,18
ABAPlanner-ST,classical,classical-domains,flashfill-sat18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,floortile-opt11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,floortile-opt14-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,floortile-sat11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,floortile-sat14-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,freecell,80,1,1.2,1,0,73,6,0,0,0,0,104.5,1175.5,8
ABAPlanner-ST,classical,classical-domains,fridge,30,0,0.0,0,30,0,0,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,ged-opt14-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,ged-sat14-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,grid,5,0,0.0,0,0,5,0,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,gripper,20,2,10.0,2,0,0,18,0,0,0,0,31.2,211.0,14.0
ABAPlanner-ST,classical,classical-domains,hanoi,30,4,13.3,4,1,16,9,0,0,0,0,2.0,136.6,5.0
ABAPlanner-ST,classical,classical-domains,hiking-opt14-strips,20,3,15.0,3,0,11,6,0,0,0,0,147.1,861.6,11
ABAPlanner-ST,classical,classical-domains,hiking-sat14-strips,20,0,0.0,0,1,14,5,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,logistics00,174,0,0.0,0,0,0,0,174,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,logistics98,35,2,5.7,2,1,26,6,0,0,0,0,81.2,619.5,16.5
ABAPlanner-ST,classical,classical-domains,maintenance-opt14-adl,5,0,0.0,0,0,0,0,0,5,0,0,,,
ABAPlanner-ST,classical,classical-domains,maintenance-sat14-adl,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,miconic,150,27,18.0,27,1,51,71,0,0,0,0,2.5,142.0,10
ABAPlanner-ST,classical,classical-domains,miconic-fulladl,150,0,0.0,0,0,0,0,0,150,0,0,,,
ABAPlanner-ST,classical,classical-domains,miconic-simpleadl,150,0,0.0,0,0,0,0,0,150,0,0,,,
ABAPlanner-ST,classical,classical-domains,movie,30,30,100.0,30,0,0,0,0,0,0,0,3.9,176.0,7.0
ABAPlanner-ST,classical,classical-domains,mprime,35,7,20.0,7,6,21,1,0,0,0,0,334.3,3336.6,5
ABAPlanner-ST,classical,classical-domains,mystery,30,8,26.7,8,0,18,4,0,0,0,0,96.9,1628.5,5.0
ABAPlanner-ST,classical,classical-domains,no-mprime,35,5,14.3,5,0,30,0,0,0,0,0,257.8,3946.4,5
ABAPlanner-ST,classical,classical-domains,no-mystery,30,8,26.7,8,0,19,3,0,0,0,0,95.9,1620.8,5.0
ABAPlanner-ST,classical,classical-domains,nomystery-opt11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,nomystery-sat11-strips,20,0,0.0,0,0,1,0,19,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,nurikabe-opt18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,nurikabe-sat18,20,0,0.0,0,0,0,0,0,20,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks,30,0,0.0,0,23,2,5,0,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-opt08-adl,30,0,0.0,0,23,0,0,7,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-opt08-strips,30,0,0.0,0,0,0,0,30,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-opt11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-opt14-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-sat08-adl,30,0,0.0,0,24,0,0,6,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-sat08-strips,30,0,0.0,0,0,0,0,30,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-sat11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-sat14-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,openstacks-strips,30,5,16.7,5,2,20,3,0,0,0,0,730.4,436.9,23
ABAPlanner-ST,classical,classical-domains,optical-telegraphs,48,0,0.0,0,0,0,0,48,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,organic-synthesis-opt18,20,0,0.0,0,7,0,0,13,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,organic-synthesis-sat18,20,0,0.0,0,2,0,0,18,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,organic-synthesis-split-opt18,20,0,0.0,0,7,0,0,13,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,organic-synthesis-split-sat18,20,0,0.0,0,2,0,0,18,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,parcprinter-08-strips,30,0,0.0,0,0,0,0,30,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,parcprinter-opt11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
ABAPlanner-ST,classical,classical-domains,parcprinter-sat11-strips,20,0,0.0,0,0,0,0,20,0,0,0,,,
