planner,track,suite,domain,tasks,solved,coverage_pct,SOLVED,TIMEOUT,MEMOUT,KILLED,ERROR,UNSUPPORTED,EXHAUSTED,UNSOLVABLE,median_solved_seconds,median_solved_mb,median_plan_length
PLASPPlanner-seq,numeric,classical-domains,agricola-opt18,20,0,0.0,0,7,0,13,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,agricola-sat18,20,0,0.0,0,9,0,11,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,barman-opt11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,barman-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,caldera-split-opt18,20,8,40.0,8,12,0,0,0,0,0,0,59.4,394.5,28.5
PLASPPlanner-seq,numeric,classical-domains,caldera-split-sat18,20,2,10.0,2,9,9,0,0,0,0,0,129.7,617.9,37.0
PLASPPlanner-seq,numeric,classical-domains,cavediving,20,7,35.0,7,13,0,0,0,0,0,0,272.0,174.7,23
PLASPPlanner-seq,numeric,classical-domains,citycar-opt14-adl,20,7,35.0,7,13,0,0,0,0,0,0,23.3,145.4,14
PLASPPlanner-seq,numeric,classical-domains,citycar-sat14-adl,20,0,0.0,0,20,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,cybersec,30,8,26.7,8,21,0,1,0,0,0,0,151.8,417.5,31.5
PLASPPlanner-seq,numeric,classical-domains,data-network-opt18,20,15,75.0,15,5,0,0,0,0,0,0,4.2,158.7,10
PLASPPlanner-seq,numeric,classical-domains,data-network-sat18,20,0,0.0,0,12,2,6,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,elevators-opt08-strips,30,6,20.0,6,24,0,0,0,0,0,0,185.7,171.5,14.5
PLASPPlanner-seq,numeric,classical-domains,elevators-opt11-strips,20,4,20.0,4,16,0,0,0,0,0,0,400.0,173.5,15.5
PLASPPlanner-seq,numeric,classical-domains,elevators-sat08-strips,30,0,0.0,0,30,0,0,0,0,0,0,,,
PLASPPlanner-seq,numeric,classical-domains,elevators-sat11-strips,20,0,0.0,0,20,0,0,0,0,0,0,,,
