planner,suite,domain,instance,ipc,status,validated,plan_length,makespan,parse_seconds,solve_seconds,total_seconds,peak_memory_mb,reason
PLASPPlanner-seq,numeric-domains,15-puzzle,korf1,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf10,,MEMOUT,,,,0.384,,819.871,7709.23,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf100,,MEMOUT,,,,0.377,,285.274,7405.85,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf11,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf12,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf13,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf14,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf15,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf16,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf17,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf18,,MEMOUT,,,,0.386,,1016.623,6707.61,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf19,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf2,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf20,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf21,,MEMOUT,,,,0.388,,740.209,7601.04,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf22,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf23,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf24,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf25,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf26,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf27,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf28,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf29,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf3,,MEMOUT,,,,0.426,,391.193,6528.41,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf30,,MEMOUT,,,,0.377,,302.254,6978.21,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf31,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf32,,MEMOUT,,,,0.376,,735.502,7591.75,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf33,,MEMOUT,,,,0.371,,264.327,7590.82,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf34,,MEMOUT,,,,0.375,,591.885,7380.83,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf35,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf36,,MEMOUT,,,,0.377,,266.109,7669.66,MemoryError under a 8192MB limit.
PLASPPlanner-seq,numeric-domains,15-puzzle,korf37,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf38,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf39,,KILLED,,,,,,,,
PLASPPlanner-seq,numeric-domains,15-puzzle,korf4,,MEMOUT,,,,0.387,,1150.121,6893.98,MemoryError under a 8192MB limit.
