planner,suite,domain,instance,ipc,status,validated,plan_length,makespan,parse_seconds,solve_seconds,total_seconds,peak_memory_mb,reason
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile1,2018,SOLVED,True,6,8.0,0.08,0.709,2.118,141.54,
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile11,2018,TIMEOUT,,,,0.132,,1800.266,426.95,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile12,2018,TIMEOUT,,,,0.131,,1800.226,468.68,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile14,2018,TIMEOUT,,,,0.136,,1800.322,487.4,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile16,2018,TIMEOUT,,,,0.136,,1800.307,515.67,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile19,2018,TIMEOUT,,,,0.16,,1800.396,610.68,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile3,2018,TIMEOUT,,,,0.087,,1800.123,301.11,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile6,2018,TIMEOUT,,,,0.108,,1800.2,320.0,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile7,2018,TIMEOUT,,,,0.097,,1800.179,335.49,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Cushing,pfile9,2018,TIMEOUT,,,,0.133,,1800.228,383.8,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p442-1,2018,TIMEOUT,,,,0.413,,1801.134,778.48,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p442-4,2018,TIMEOUT,,,,0.365,,1801.113,873.55,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p442-5,2018,TIMEOUT,,,,0.385,,1801.084,811.69,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p443-2,2018,TIMEOUT,,,,0.343,,1801.681,950.36,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p443-3,2018,TIMEOUT,,,,0.359,,1801.613,1083.84,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p552-2,2018,TIMEOUT,,,,0.453,,1802.396,1230.1,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p552-4,2018,TIMEOUT,,,,0.447,,1802.154,1177.76,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p553-1,2018,TIMEOUT,,,,0.443,,1803.998,1721.1,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p553-3,2018,TIMEOUT,,,,0.425,,1803.556,1608.65,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Floortile,p553-5,2018,TIMEOUT,,,,0.399,,1804.39,1938.22,Hit the task time limit.
PLASPPlanner-seq,ipc2018-temporal,Mapanalyser,pfile3-4-2-0-1,2018,MEMOUT,,,,0.212,,106.016,7697.44,MemoryError under a 8192MB limit.
PLASPPlanner-seq,ipc2018-temporal,Mapanalyser,pfile3-4-2-0-3,2018,MEMOUT,,,,0.243,,115.304,6626.95,MemoryError under a 8192MB limit.
PLASPPlanner-seq,ipc2018-temporal,Mapanalyser,pfile5-2-2-0-2,2018,MEMOUT,,,,0.494,,127.006,7714.96,MemoryError under a 8192MB limit.
PLASPPlanner-seq,ipc2018-temporal,Mapanalyser,pfile5-2-3-0-1,2018,MEMOUT,,,,0.506,,110.665,7650.31,MemoryError under a 8192MB limit.
PLASPPlanner-seq,ipc2018-temporal,Mapanalyser,pfile5-2-3-0-2,2018,MEMOUT,,,,0.562,,113.371,7653.86,MemoryError under a 8192MB limit.
